player_name,profile_link,player_throwing_arm,player_salary_cap
Colin Kaepernick,https://www.pro-football-reference.com/players/K/KaepCo00.htm,Right,
Ryan Mallett,https://www.pro-football-reference.com/players/M/MallRy00.htm,Right,"1,000,000"
Ricky Stanzi,https://www.pro-football-reference.com/players/S/StanRi00.htm,Right,
T.J. Yates,https://www.pro-football-reference.com/players/Y/YateT.00.htm,Right,
Nathan Enderle,https://www.pro-football-reference.com/players/E/EndeNa00.htm,Right,
Tyrod Taylor,https://www.pro-football-reference.com/players/T/TaylTy00.htm,Right,"7,500,000"
Greg McElroy,https://www.pro-football-reference.com/players/M/McElGr00.htm,Right,
Sam Bradford,https://www.pro-football-reference.com/players/B/BradSa00.htm,Right,"14,000,000"
Tim Tebow,https://www.pro-football-reference.com/players/T/TeboTi00.htm,Left,
Jimmy Clausen,https://www.pro-football-reference.com/players/C/ClauJi00.htm,Right,
Colt McCoy,https://www.pro-football-reference.com/players/M/McCoCo00.htm,Right,"2,800,000"
Mike Kafka,https://www.pro-football-reference.com/players/K/KafkMi00.htm,Right,
John Skelton,https://www.pro-football-reference.com/players/S/SkelJo00.htm,Right,
Jonathan Crompton,https://www.pro-football-reference.com/players/C/CromJo00.htm,Right,
Rusty Smith,https://www.pro-football-reference.com/players/S/SmitRu01.htm,Right,
Dan LeFevour,https://www.pro-football-reference.com/players/L/LeFeDa00.htm,Right,
Tony Pike,https://www.pro-football-reference.com/players/P/PikeTo00.htm,,
Levi Brown,https://www.pro-football-reference.com/players/B/BrowLe00.htm,,
Sean Canfield,https://www.pro-football-reference.com/players/C/CanfSe00.htm,Left,
Zac Robinson,https://www.pro-football-reference.com/players/R/RobiZa00.htm,Right,
Matthew Stafford,https://www.pro-football-reference.com/players/S/StafMa00.htm,Right,"1,000,000"
Mark Sanchez,https://www.pro-football-reference.com/players/S/SancMa00.htm,Right,"1,000,000"
Josh Freeman,https://www.pro-football-reference.com/players/F/FreeJo00.htm,Right,
Pat White,https://www.pro-football-reference.com/players/W/WhitPa01.htm,Left,
Stephen McGee,https://www.pro-football-reference.com/players/M/McGeSt00.htm,Right,
Rhett Bomar,https://www.pro-football-reference.com/players/B/BomaRh00.htm,,
Nate Davis,https://www.pro-football-reference.com/players/D/DaviNa00.htm,,
Tom Brandstater,https://www.pro-football-reference.com/players/B/BranTo00.htm,Right,
Mike Teel,https://www.pro-football-reference.com/players/T/TeelMi00.htm,,
Keith Null,https://www.pro-football-reference.com/players/N/NullKe00.htm,Right,
Curtis Painter,https://www.pro-football-reference.com/players/P/PainCu00.htm,Right,
Matt Ryan,https://www.pro-football-reference.com/players/R/RyanMa00.htm,Right,"15,750,000"
Joe Flacco,https://www.pro-football-reference.com/players/F/FlacJo00.htm,Right,"6,000,000"
Brian Brohm,https://www.pro-football-reference.com/players/B/BrohBr00.htm,,
Chad Henne,https://www.pro-football-reference.com/players/H/HennCh01.htm,Right,"2,250,000"
Kevin O'Connell,https://www.pro-football-reference.com/players/O/OConKe00.htm,Right,
